Institution code (UKPRN)	Institution name	Institution sort order	Main panel	Unit of assessment number	Unit of assessment name	Multiple submission letter	Multiple submission name	Joint submission	Profile	FTE Category A staff submitted	4*	3*	2*	1*	unclassified
H-0170	University of Aberdeen	1	A	1	Clinical Medicine				Overall	47	15	60	20	5	0
H-0170	University of Aberdeen	1	A	2	Public Health, Health Services & Primary Care				Overall	60.5	25	50	20	5	0
H-0170	University of Aberdeen	1	A	4	Psychology, Psychiatry & Neuroscience				Overall	26	5	45	40	10	0
H-0170	University of Aberdeen	1	A	5	Biological Sciences				Overall	81.8	5	35	35	15	10
H-0170	University of Aberdeen	1	A	6	Agriculture, Veterinary & Food Science				Overall	20	20	35	40	5	0
H-0170	University of Aberdeen	1	B	7	Earth Systems & Environmental Sciences				Overall	14.53	10	50	35	5	0
H-0170	University of Aberdeen	1	B	8	Chemistry				Overall	12	5	35	55	5	0
H-0170	University of Aberdeen	1	B	10	Mathematical Sciences				Overall	14	20	45	35	0	0
H-0170	University of Aberdeen	1	B	11	Computer Science & Informatics				Overall	14.8	20	50	30	0	0
H-0170	University of Aberdeen	1	B	15	General Engineering				Overall	31.1	20	35	30	15	0
H-0170	University of Aberdeen	1	C	16	Architecture, Built Environment & Planning				Overall	7.9	20	40	30	10	0
H-0170	University of Aberdeen	1	C	17	Geography, Environmental Studies & Archaeology				Overall	25.7	10	40	40	10	0
H-0170	University of Aberdeen	1	C	18	Economics & Econometrics				Overall	14	20	45	35	0	0
H-0170	University of Aberdeen	1	C	19	Business & Management Studies				Overall	21.25	10	30	40	15	5
H-0170	University of Aberdeen	1	C	20	Law				Overall	35.7	5	30	45	20	0
H-0170	University of Aberdeen	1	C	21	Politics & International Studies				Overall	18	5	20	55	15	5
H-0170	University of Aberdeen	1	C	23	Sociology				Overall	14	15	40	35	10	0
H-0170	University of Aberdeen	1	C	24	Anthropology & Development Studies				Overall	7	30	25	25	20	0
H-0170	University of Aberdeen	1	C	25	Education				Overall	11.23	5	20	40	30	5
H-0170	University of Aberdeen	1	C	26	Sport & Exercise Sciences, Leisure & Tourism				Overall	5	5	25	40	25	5
H-0170	University of Aberdeen	1	D	28	Modern Languages				Overall	20	5	25	45	25	0
H-0170	University of Aberdeen	1	D	29	English Language & Literature				Overall	20.5	30	35	30	5	0
H-0170	University of Aberdeen	1	D	30	History				Overall	25.6	30	30	35	5	0
H-0170	University of Aberdeen	1	D	32	Philosophy				Overall	3	0	25	70	5	0
H-0170	University of Aberdeen	1	D	33	Theology & Religious Studies				Overall	18	15	65	20	0	0
H-0170	University of Aberdeen	1	D	34	Art & Design: History, Practice, Theory				Overall	8.3	20	35	40	5	0
H-0170	University of Aberdeen	1	D	35	Music, Drama, Dance, Performing Arts				Overall	7.6	5	45	35	15	0
H-0095	University of Abertay Dundee	2	A	3	Allied Health, Dentistry, Nursing & Pharmacy				Overall	9.7	0	10	35	35	20
